date,stock A,stock B,stock C,stock D,stock E,stock F,stock G,stock H,stock I,stock J
20100101,1,1,1,1,1,1,1,1,1,1
20100104,1.013321599,1.000920632,1.021967159,0.993448721,1.024533348,1.013444964,0.997206721,1.03697985,1.006476004,0.996978344
20100105,0.98563545,0.996192192,1.013150553,0.996807865,1.046264662,1.038139895,1.017300839,1.022118069,0.977483325,0.967546184
20100106,0.986065682,0.990418898,1.000106946,0.98308925,1.010726296,1.044792521,1.021094868,1.025042489,0.951890018,0.989873768
20100107,0.977923009,0.966283187,1.001906769,0.958314795,1.0286817,1.032986228,1.017977073,1.01881815,0.940168655,0.994750053
20100108,0.968874731,0.972187537,1.007021926,0.925209141,1.082447477,1.056464876,1.0110209,1.033320925,0.915804725,1.005171634
20100111,0.978510017,0.968079193,0.973168633,0.898634304,1.112093227,1.03025623,1.005499132,1.016736462,0.890684863,0.989242624
20100112,0.983875488,0.969109838,0.971556997,0.894110187,1.101214171,1.034527202,1.013670741,1.033480342,0.904286888,0.984608369
20100113,0.996689474,0.965754455,0.988447162,0.897408496,1.068287511,1.033702755,0.995931883,1.049727791,0.914942897,1.009492145
20100114,0.995181689,0.994716886,1.003436704,0.904483483,1.069634001,1.038429319,1.031215516,1.021074729,0.902739985,1.022115709
20100115,0.989324714,0.989279211,0.988146281,0.885834369,1.079850361,1.071694382,1.023279684,1.035625569,0.892079335,1.022056917
20100118,1.014800933,0.981756361,1.010515068,0.857937704,1.057955363,1.08002329,1.016191105,1.044002075,0.8807868,1.011365309
20100119,1.018157188,0.996237911,1.011651911,0.830383539,1.053542181,1.126928177,1.000993143,1.024191059,0.889709387,0.994566151
20100120,1.035013155,1.009916397,1.020855197,0.863335011,1.07062623,1.128943147,1.003492174,1.01415452,0.900135413,0.961318582
20100121,1.033371569,1.016221531,1.025465823,0.858854615,1.07500628,1.105649042,1.027769258,1.033134131,0.918576274,0.938229794
20100122,1.064098688,1.021807426,1.040046509,0.846377948,1.08276053,1.12600304,1.001361766,1.010750192,0.932694876,0.951223459
20100125,1.090141321,1.019121717,1.034851598,0.843508477,1.11354517,1.146951876,0.988483711,0.987129805,0.91770917,0.943872797
20100126,1.118919498,1.02338075,1.013951413,0.853965934,1.12061677,1.132248876,0.986361998,0.964519504,0.916178275,0.949521802
20100127,1.104454614,1.017559521,1.002646913,0.8565563,1.106265842,1.127669875,0.990011643,0.96769836,0.911006229,0.95387685
20100128,1.13384817,0.997072412,0.993916514,0.873031465,1.09301389,1.14458478,1.02537433,0.960368197,0.908011169,0.951370048
20100129,1.105059119,0.986227832,0.971555324,0.868001838,1.086368967,1.162499902,1.006208183,0.970448824,0.930776013,0.94967499
